Order ID,Customer Name,Customer City,Customer State/Province,Customer Status,Order Date,Product ID,Unit Price,Quantity,Discount Rate,,,,
10248,Suzan Plock,Pittsburgh,PA,Silver,Jan-18,11,$14.00,12,0%,,,,
10248,Suzan Plock,Pittsburgh,PA,Silver,Jan-18,42,$9.80,10,0%,,,,
10248,Suzan Plock,Pittsburgh,PA,Silver,Jan-18,72,$34.80,5,0%,,,,
10249,Allan Strate,Miami,FL,Platinum,Jan-18,51,$42.40,40,0%,,,,
10249,Allan Strate,Miami,FL,Platinum,Jan-18,14,$18.60,9,0%,,,,
10250,Elnora Willison,Philadelphia,PA,Platinum,Jan-18,51,$42.40,35,15%,,,,
10250,Elnora Willison,Philadelphia,PA,Platinum,Jan-18,41,$7.70,10,0%,,,,
10250,Elnora Willison,Philadelphia,PA,Platinum,Jan-18,65,$16.80,15,15%,,,,
10251,Daniela Becknell,Tacoma,WA,Platinum,Jan-18,65,$16.80,20,0%,,,,
10251,Daniela Becknell,Tacoma,WA,Platinum,Jan-18,22,$16.80,6,5%,,,,
10251,Daniela Becknell,Tacoma,WA,Platinum,Jan-18,57,$15.60,15,5%,,,,
10252,Cathrine Delamater,Philadelphia,PA,Platinum,Jan-18,33,$2.00,25,5%,,,,
10252,Cathrine Delamater,Philadelphia,PA,Platinum,Jan-18,20,$64.80,40,5%,,,,
10252,Cathrine Delamater,Philadelphia,PA,Platinum,Jan-18,60,$27.20,40,0%,,,,
10253,Leota Vonderheide,Philadelphia,PA,Platinum,Jan-18,49,$16.00,40,0%,,,,
10253,Leota Vonderheide,Philadelphia,PA,Platinum,Jan-18,39,$14.40,42,0%,,,,
10253,Leota Vonderheide,Philadelphia,PA,Platinum,Jan-18,31,$10.00,20,0%,,,,
10254,Tyrone Hine,Pittsburgh,PA,Gold,Jan-18,55,$19.20,21,15%,,,,
10254,Tyrone Hine,Pittsburgh,PA,Gold,Jan-18,74,$8.00,21,0%,,,,
10254,Tyrone Hine,Pittsburgh,PA,Gold,Jan-18,24,$3.60,15,15%,,,,
10255,Christin Tillinghast,Tacoma,WA,Gold,Jan-18,36,$15.20,25,0%,,,,
10255,Christin Tillinghast,Tacoma,WA,Gold,Jan-18,59,$44.00,30,0%,,,,
10255,Christin Tillinghast,Tacoma,WA,Gold,Jan-18,16,$13.90,35,0%,,,,
10255,Christin Tillinghast,Tacoma,WA,Gold,Jan-18,2,$15.20,20,0%,,,,
10256,Kisha Grauer,Salt Lake City,UT,Silver,Jan-18,53,$26.20,15,15%,,,,
10256,Kisha Grauer,Salt Lake City,UT,Silver,Jan-18,77,$10.40,12,0%,,,,
10257,Darryl Manuelito,Charleston,SC,Silver,Jan-18,27,$35.10,25,0%,,,,
10257,Darryl Manuelito,Charleston,SC,Silver,Jan-18,39,$14.40,6,0%,,,,
10257,Darryl Manuelito,Charleston,SC,Silver,Jan-18,77,$10.40,15,0%,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
