Employee ID,Full Name,Hire Date,Birth Date,Department,Job Title
EI1011,"Adams, Karen",1985-01-10,1972-07-21,Custodial,Custodian
EI1013,"Alexander, Anthony",1985-01-10,1972-07-21,Custodial,Custodian
EI1015,"Alexander, Emily",1985-01-10,1972-07-21,Custodial,Custodian
EI1017,"Alexander, Donna",1985-02-17,1995-05-17,Staff,VP
EI1019,"Alexander, Julia",1985-04-17,1973-08-25,Maintenance,Trades
EI1021,"Allen, Michael",1985-05-31,2001-08-09,Grounds,Gardener
EI1023,"Anderson, Peter",1985-10-25,1967-10-19,Dining,Chef
EI1025,"Bailey, Maria",1985-11-01,1981-06-12,Athletics,Facilities
EI1027,"Bailey, Brenda",1985-11-15,1979-09-06,Staff,Lab Manager
EI1029,"Baker, Anthony",1986-02-11,1974-06-30,Faculty,Professor
EI1031,"Baker, Catherine",1986-02-19,1987-04-17,Dining,Manager
EI1033,"Barnes, Walter",1986-03-07,1988-01-28,Custodial,Custodian
EI1035,"Barnes, Steven",1986-11-13,1988-04-21,Staff,Director
EI1037,"Barnes, Raymond",1986-12-02,1996-06-29,Dining,Chef
EI1039,"Barnes, Jennifer",1987-02-05,1982-01-08,Public Safety,Police Officer
EI1041,"Bell, Teresa",1987-02-10,1994-06-03,Custodial,Custodian
EI1043,"Bell, Steven",1987-05-09,1974-09-19,Dining,Chef
EI1045,"Bennett, Roger",1987-05-09,1974-09-19,Dining,Chef
EI1047,"Bennett, Susan",1987-05-09,1974-09-19,Dining,Chef
EI1049,"Bennett, Joseph",1987-06-14,1991-05-29,Grounds,Gardener
EI1051,"Brooks, Jennifer",1987-09-13,2003-09-01,Maintenance,Trades
EI1053,"Brown, Kimberly",1987-09-19,1960-12-16,Maintenance,Supervisor
EI1055,"Brown, Christine",1987-10-29,1983-09-10,Faculty,Professor
EI1057,"Bryant, Steven",1987-11-16,1989-06-15,Dining,Chef
EI1059,"Campbell, Jeffrey",1987-12-16,1995-08-07,Maintenance,Trades
EI1061,"Carter, Rachel",1988-03-14,1999-06-22,Dining,Manager
EI1063,"Carter, David",1988-11-21,1983-11-15,Public Safety,Public safety Officer
EI1065,"Clark, Christopher",1989-09-27,1967-10-12,Maintenance,Trades
EI1067,"Cole, Susan",1990-10-19,1998-03-11,Athletics,Facilities
EI1069,"Coleman, Richard",1991-01-23,1979-04-27,Athletics,Trainer
EI1071,"Collins, Brian",1991-02-23,1969-03-30,Public Safety,Public safety Officer
EI1073,"Collins, Steven",1991-07-03,1999-10-24,Public Safety,Public safety Officer
EI1075,"Collins, Jennifer",1991-08-25,2003-10-08,Dining,Chef
EI1077,"Cook, Anthony",1991-12-06,1973-07-09,Dining,Chef
EI1079,"Cooper, Cynthia",1993-02-09,1989-11-17,Public Safety,Police Officer
EI1081,"Cooper, Joyce",1993-02-17,1985-04-20,Public Safety,Police Officer
EI1083,"Cox, Evelyn",1993-04-24,1980-07-01,Staff,Director
EI1085,"Cox, Christopher",1993-04-24,1980-07-01,Staff,Director
EI1087,"Cruz, Karen",1993-04-27,1992-04-28,Public Safety,Police Officer
EI1089,"Cruz, Patrick",1993-07-18,1967-11-04,Athletics,Facilities
EI1091,"Davis, Michael",1993-08-21,1973-06-28,Staff,Director
EI1093,"Davis, Amanda",1993-11-09,2002-04-27,Staff,Director
EI1095,"Davis, Nicole",1993-12-14,1964-11-12,Grounds,Gardener
EI1097,"Diaz, Melissa",1994-01-10,1998-07-21,Athletics,Trainer
EI1099,"Diaz, Julia",1994-05-18,1996-01-29,Grounds,Gardener
EI1101,"Diaz, Brian",1994-06-22,1965-05-18,Maintenance,Trades
EI1103,"Diaz, Robert",1994-06-22,1986-07-29,Athletics,Facilities
EI1105,"Edwards, Andrew",1994-08-20,1962-09-05,Maintenance,General Maintenance
EI1107,"Ellis, Jerry",1994-09-20,1967-07-17,Custodial,Custodian
EI1109,"Ellis, Mary",1994-11-05,1996-10-04,Grounds,Gardener
EI1111,"Evans, Laura",1994-11-05,1996-10-04,Grounds,Gardener
EI1113,"Fisher, Stephanie",1995-01-02,1988-05-16,Dining,Associate
EI1115,"Fisher, James",1995-01-07,1979-06-27,Grounds,Gardener
EI1117,"Fisher, Cynthia",1995-01-07,1979-06-27,Grounds,Gardener
EI1119,"Fisher, Ann",1995-01-30,1988-09-03,Grounds,Gardener
EI1121,"Flores, Joyce",1995-01-30,1988-09-03,Grounds,Gardener
EI1123,"Flores, Robert",1995-02-06,1984-02-02,Faculty,Professor
EI1125,"Flores, Jack",1995-03-25,1992-01-27,Faculty,Professor
EI1127,"Ford, William",1995-04-16,1982-10-27,Maintenance,General Maintenance
EI1129,"Ford, Christopher",1995-04-27,1993-02-05,Staff,Administrative Assistant
EI1131,"Ford, Julia",1995-04-30,1984-04-12,Maintenance,Trades
EI1133,"Foster, Julie",1995-04-30,1984-04-12,Maintenance,Trades
EI1135,"Foster, Kimberly",1995-05-03,1983-12-21,Public Safety,Public safety Officer
EI1137,"Foster, Kenneth",1995-05-11,1972-10-27,Dining,Chef
EI1139,"Garcia, Daniel",1995-07-18,1975-10-03,Grounds,Gardener
EI1141,"Garcia, Marilyn",1995-08-18,1976-05-31,Staff,VP
EI1143,"Gibson, Gregory",1995-09-18,1964-11-12,Faculty,Professor
EI1145,"Gibson, Jennifer",1995-09-28,1976-12-28,Public Safety,Public safety Officer
EI1147,"Gibson, Marie",1995-10-22,1996-07-15,Faculty,Professor
EI1149,"Gonzales, Kevin",1995-11-27,1979-10-30,Dining,Chef
EI1151,"Gonzales, Brian",1995-12-05,1994-05-28,Staff,Lab Manager
EI1153,"Gonzales, Robert",1995-12-05,1994-05-28,Staff,Lab Manager
EI1155,"Gonzales, Patrick",1995-12-28,1973-06-05,Faculty,Professor
EI1157,"Gonzalez, Diana",1996-01-18,1960-09-20," Custodial",Custodian
EI1159,"Gonzalez, Donna",1996-01-31,1991-06-26,Athletics,Facilities
EI1161,"Gonzalez, Kevin",1996-02-16,1994-09-09,Grounds,Gardener
EI1163,"Gonzalez, Patrick",1996-03-23,1967-09-19,Maintenance,Supervisor
EI1165,"Gonzalez, Brian",1996-03-29,1963-10-16,Staff,Lab Manager
EI1167,"Graham, Joseph",1996-05-05,1971-07-26,Athletics,Trainer
EI1169,"Graham, Lisa",1996-08-22,2002-02-13,Grounds,Gardener
EI1171,"Gray, Timothy",1996-10-07,2003-05-30,Staff,Lab Manager
EI1173,"Gray, Brian",1996-12-06,1977-07-11,Maintenance,Trades
EI1175,"Green, Kevin",1997-02-10,1969-08-01,Faculty,Professor
EI1177,"Griffin, Susan",1997-03-19,1964-06-15,Athletics,Coach
EI1179,"Griffin, Daniel",1997-04-16,1960-01-01,Athletics,Facilities
EI1181,"Griffin, Joshua",1997-04-16,1960-01-01,Athletics,Facilities
EI1183,"Hall, Lisa",1997-04-28,1965-02-05,Dining,Chef
EI1185,"Hamilton, Gary",1997-05-12,1976-10-19," Custodial",Custodian
EI1187,"Hamilton, Megan",1997-05-12,1976-10-19," Custodial",Custodian
EI1189,"Hamilton, Brenda",1997-05-12,1976-10-19," Custodial",Custodian
EI1191,"Harris, Betty",1997-06-30,1966-03-02,Athletics,Facilities
EI1193,"Harris, Joshua",1997-06-30,1966-03-02,Athletics,Facilities
EI1195,"Harrison, Kenneth",1997-07-13,1990-11-27,Athletics,Coach
EI1197,"Harrison, Steven",1997-09-25,1993-03-24,Dining,Associate
EI1199,"Harrison, Michelle",1997-09-25,1993-03-24,Dining,Associate
EI1201,"Hayes, Tiffany",1997-11-04,1986-10-14,Staff,Specialist
EI1203,"Hayes, Diana",1997-11-04,1986-10-14,Staff,Specialist
EI1205,"Hayes, Jack",1997-12-19,1971-02-20,Custodial,Custodian
EI1207,"Henderson, Michael",1998-01-02,1983-02-01,Public Safety,Police Officer
EI1209,"Henderson, Christopher",1998-01-02,1983-02-01,Public Safety,Police Officer
EI1211,"Henderson, Cynthia",1998-01-03,1984-10-29,Grounds,Gardener
EI1213,"Hernandez, David",1998-01-08,1978-02-10,Public Safety,Public safety Officer
EI1215,"Hernandez, Ann",1998-01-23,1963-04-11,Dining,Associate
EI1217,"Hernandez, Brenda",1998-01-23,1963-04-11,Dining,Associate
EI1219,"Hernandez, Frank",1998-04-13,1975-09-20,Grounds,Gardener
EI1221,"Hernandez, Michael",1998-05-12,1991-09-19,Public Safety,Police Officer
EI1223,"Hill, Andrew",1998-06-10,1962-05-03,Faculty,Professor
EI1225,"Hill, Nicholas",1998-08-18,1971-09-27,Grounds,Gardener
EI1227,"Hill, Kathleen",1998-08-22,1968-02-15,Faculty,Professor
EI1229,"Hill, Catherine",1998-08-26,1990-07-28,Dining,Associate
